//大小
s -12.0/-2.0/12.0/16.0

e 1/-11.0/0.0/0.0
e 1/-11.0/1.0/0.0
e 1/-11.0/2.0/0.0
e 1/-11.0/3.0/0.0
e 1/-11.0/4.0/0.0
e 1/-11.0/5.0/0.0
e 1/-11.0/6.0/0.0
e 1/-11.0/7.0/0.0
e 1/-11.0/8.0/0.0
e 1/-11.0/9.0/0.0
e 1/-11.0/10.0/0.0
e 1/-11.0/11.0/0.0
e 1/-11.0/12.0/0.0

e 1/11.0/0.0/0.0
e 1/11.0/1.0/0.0
e 1/11.0/2.0/0.0
e 1/11.0/3.0/0.0
e 1/11.0/4.0/0.0
e 1/11.0/5.0/0.0
e 1/11.0/6.0/0.0
e 1/11.0/7.0/0.0
e 1/11.0/8.0/0.0
e 1/11.0/9.0/0.0
e 1/11.0/10.0/0.0
e 1/11.0/11.0/0.0
e 1/11.0/12.0/0.0

e 2/-3.0/3.0/0.0
e 2/-2.0/3.0/0.0
e 2/-1.0/3.0/0.0
e 2/3.0/3.0/0.0
e 2/2.0/3.0/0.0
e 2/1.0/3.0/0.0
e 2/0.0/3.0/0.0

e 2/-11.0/-1.0/0.0
e 2/-10.0/-1.0/0.0
e 2/-9.0/-1.0/0.0
e 2/-8.0/-1.0/0.0
e 2/-7.0/-1.0/0.0
e 2/-6.0/-1.0/0.0
e 2/-5.0/-1.0/0.0
e 2/-4.0/-1.0/0.0
e 2/11.0/-1.0/0.0
e 2/10.0/-1.0/0.0
e 2/9.0/-1.0/0.0
e 2/8.0/-1.0/0.0
e 2/7.0/-1.0/0.0
e 2/6.0/-1.0/0.0
e 2/5.0/-1.0/0.0
e 2/4.0/-1.0/0.0

e 1/-4.0/0.0/0.0
e 1/-4.0/1.0/0.0
e 1/-4.0/2.0/0.0
e 1/-4.0/3.0/0.0
e 1/4.0/0.0/0.0
e 1/4.0/1.0/0.0
e 1/4.0/2.0/0.0
e 1/4.0/3.0/0.0

//怪物
//小黄
e 100/-7.0/0.0/0.0
e 100/-9.0/3.0/0.0

e 100/9.0/0.0/0.0
e 100/7.0/0.0/0.0

p 0.0/4.5/0.0
