//大小
s -16.0/-2.0/16.0/18.0

//横向底部
e 2/-14.0/-1.0/0.0
e 2/-13.0/-1.0/0.0
e 2/-9.0/-1.0/0.0
e 2/-8.0/-1.0/0.0
e 2/-7.0/-1.0/0.0
e 2/-6.0/-1.0/0.0
e 2/-5.0/-1.0/0.0
e 2/-4.0/-1.0/0.0
e 2/-3.0/-1.0/0.0
e 2/-2.0/-1.0/0.0
e 2/-1.0/-1.0/0.0
e 2/0.0/-1.0/0.0
e 2/1.0/-1.0/0.0
e 2/2.0/-1.0/0.0
e 2/3.0/-1.0/0.0
e 2/4.0/-1.0/0.0
e 2/5.0/-1.0/0.0
e 2/6.0/-1.0/0.0
e 2/7.0/-1.0/0.0
e 2/8.0/-1.0/0.0
e 2/9.0/-1.0/0.0
e 2/13.0/-1.0/0.0
e 2/14.0/-1.0/0.0

//竖向左侧
e 1/-14.0/0.0/0.0
e 1/-14.0/1.0/0.0
e 1/-14.0/2.0/0.0
e 1/-14.0/3.0/0.0
e 1/-14.0/4.0/0.0
e 1/-14.0/5.0/0.0
e 1/-14.0/6.0/0.0
e 1/-14.0/7.0/0.0
e 1/-14.0/8.0/0.0
e 1/-14.0/9.0/0.0
e 1/-14.0/13.0/0.0
e 1/-14.0/14.0/0.0
e 1/-14.0/15.0/0.0
e 1/-14.0/16.0/0.0

//竖向右侧
e 1/14.0/0.0/0.0
e 1/14.0/1.0/0.0
e 1/14.0/2.0/0.0
e 1/14.0/3.0/0.0
e 1/14.0/4.0/0.0
e 1/14.0/5.0/0.0
e 1/14.0/6.0/0.0
e 1/14.0/7.0/0.0
e 1/14.0/8.0/0.0
e 1/14.0/9.0/0.0
e 1/14.0/13.0/0.0
e 1/14.0/14.0/0.0
e 1/14.0/15.0/0.0
e 1/14.0/16.0/0.0

//天花板
e 2/-14.0/16.0/0.0
e 2/-13.0/16.0/0.0
e 2/-9.0/16.0/0.0
e 2/-8.0/16.0/0.0
e 2/-7.0/16.0/0.0
e 2/-6.0/16.0/0.0
e 2/-5.0/16.0/0.0
e 2/-4.0/16.0/0.0
e 2/-3.0/16.0/0.0
e 2/-2.0/16.0/0.0
e 2/-1.0/16.0/0.0
e 2/0.0/16.0/0.0
e 2/1.0/16.0/0.0
e 2/2.0/16.0/0.0
e 2/3.0/16.0/0.0
e 2/4.0/16.0/0.0
e 2/5.0/16.0/0.0
e 2/6.0/16.0/0.0
e 2/7.0/16.0/0.0
e 2/8.0/16.0/0.0
e 2/9.0/16.0/0.0
e 2/13.0/16.0/0.0
e 2/14.0/16.0/0.0

//竖向墙，不可跨越
e 1/3.0/0.0/0.0
e 1/3.0/1.0/0.0
e 1/3.0/2.0/0.0
e 1/3.0/3.0/0.0
e 1/3.0/4.0/0.0

//横向
e 2/-3.0/2.0/0.0
e 2/-2.0/2.0/0.0
e 2/-1.0/2.0/0.0

//
e 2/0.0/4.0/0.0
e 2/1.0/4.0/0.0
e 2/2.0/4.0/0.0

//横向
e 2/-8.0/7.0/0.0
e 2/-7.0/7.0/0.0
e 2/-6.0/7.0/0.0
e 2/-5.0/7.0/0.0
e 2/-4.0/7.0/0.0
e 2/-3.0/7.0/0.0
e 2/-2.0/7.0/0.0
e 2/-1.0/7.0/0.0
e 2/0.0/7.0/0.0
e 2/1.0/7.0/0.0
e 2/2.0/7.0/0.0
e 2/3.0/7.0/0.0
e 2/4.0/7.0/0.0
e 2/5.0/7.0/0.0
e 2/6.0/7.0/0.0
e 2/7.0/7.0/0.0
e 2/8.0/7.0/0.0

//横向
e 2/-13.0/9.0/0.0
e 2/-12.0/9.0/0.0
e 2/-11.0/9.0/0.0
e 2/-10.0/9.0/0.0
e 2/10.0/9.0/0.0
e 2/11.0/9.0/0.0
e 2/12.0/9.0/0.0
e 2/13.0/9.0/0.0

//横向
e 2/-2.0/13.0/0.0
e 2/-1.0/13.0/0.0
e 2/0.0/13.0/0.0
e 2/1.0/13.0/0.0
e 2/2.0/13.0/0.0
e 2/3.0/13.0/0.0

//竖向墙，不可跨越
e 1/6.0/15.0/0.0
e 1/6.0/14.0/0.0
e 1/6.0/13.0/0.0
e 1/6.0/12.0/0.0
e 1/6.0/11.0/0.0

//
e 1/-5.0/15.0/0.0
e 1/-5.0/14.0/0.0
e 1/-5.0/13.0/0.0
e 1/-5.0/12.0/0.0
e 1/-5.0/11.0/0.0


//怪物
e 100/-3.0/0.0/0.0
e 100/-7.0/0.0/0.0
e 100/6.0/0.0/0.0

e 100/3.0/8.0/0.0
e 100/-3.0/8.0/0.0
e 100/2.0/14.0/0.0
e 100/-1.0/14.0/0.0

e 101/12.0/4.0/0.0
e 101/9.0/4.0/0.0
e 101/-12.0/12.0/0.0
e 101/12.0/12.0/0.0

p 0.0/0.5/0.0
